FrameTime;FrameNr;ElapsedTime
0,0342683;1;0
0,0362476;2;0,0342683
0,0411503;3;0,0705159
0,0346099;4;0,111666
0,0329009;5;0,146276
0,038206;6;0,179177
0,0338421;7;0,217383
0,03401;8;0,251225
0,0373722;9;0,285235
0,0396775;10;0,322607
0,0387581;11;0,362285
0,0356547;12;0,401043
0,0352212;13;0,436698
0,0473705;14;0,471919
0,0349942;15;0,519289
0,044176;16;0,554283
0,034338;17;0,598459
0,0341243;18;0,632797
0,0353125;19;0,666922
0,0345257;20;0,702234
0,0422757;21;0,73676
0,0390431;22;0,779036
0,0333621;23;0,818079
0,0441263;24;0,851441
0,048685;25;0,895567
0,0431532;26;0,944252
0,0421879;27;0,987405
0,0471855;28;1,02959
0,0394589;29;1,07678
0,0350106;30;1,11624
0,0369196;31;1,15125
0,0460665;32;1,18817
0,0330221;33;1,23423
0,0364876;34;1,26726
0,0449806;35;1,30374
0,0327947;36;1,34872
0,0315047;37;1,38152
0,0328935;38;1,41302
0,0382289;39;1,44592
0,0370869;40;1,48415
0,0592592;41;1,52123
0,0391338;42;1,58049
0,0538023;43;1,61963
0,0963605;44;1,67343
0,103497;45;1,76979
0,058118;46;1,87329
0,0367286;47;1,9314
0,0342896;48;1,96813
0,0488001;49;2,00242
0,0614532;50;2,05122
0,0358393;51;2,11268
0,036297;52;2,14851
0,0342198;53;2,18481
0,0344851;54;2,21903
0,0421556;55;2,25352
0,0350506;56;2,29567
0,0338557;57;2,33072
0,034211;58;2,36458
0,0339172;59;2,39879
0,0380598;60;2,43271
0,0467532;61;2,47077
0,0516466;62;2,51752
0,0405547;63;2,56917
0,0545756;64;2,60972
0,047587;65;2,6643
0,0413218;66;2,71188
0,0439925;67;2,75321
0,0349668;68;2,7972
0,0381823;69;2,83216
0,0449833;70;2,87035
0,0388488;71;2,91533
0,047016;72;2,95418
0,0359506;73;3,00119
0,0398747;74;3,03715
0,037452;75;3,07702
0,0379849;76;3,11447
0,0406791;77;3,15246
0,0408831;78;3,19314
0,0342737;79;3,23402
0,0378372;80;3,26829
0,0439358;81;3,30613
0,03907;82;3,35007
0,0501094;83;3,38914
0,0492514;84;3,43925
0,0433268;85;3,4885
0,037948;86;3,53182
0,0433222;87;3,56977
0,0368187;88;3,61309
0,0373674;89;3,64991
0,0587975;90;3,68728
0,0376115;91;3,74608
0,0355102;92;3,78369
0,0378235;93;3,8192
0,0398033;94;3,85702
0,0354313;95;3,89683
0,0414953;96;3,93226
0,0478445;97;3,97375
0,041394;98;4,0216
0,0381292;99;4,06299
0,0362244;100;4,10112
0,0438569;101;4,13734
0,0405301;102;4,1812
0,0436364;103;4,22173
0,0331518;104;4,26537
0,0322295;105;4,29852
0,0331298;106;4,33075
0,0321993;107;4,36388
0,0340891;108;4,39608
0,0336999;109;4,43017
0,0409064;110;4,46387
0,0395901;111;4,50477
0,0327543;112;4,54436
0,0381729;113;4,57712
0,0380053;114;4,61529
0,0328107;115;4,6533
0,0374797;116;4,68611
0,0569497;117;4,72359
0,0369952;118;4,78054
0,0331635;119;4,81753
0,0350224;120;4,8507
0,0330124;121;4,88572
0,033273;122;4,91873
0,0354835;123;4,952
0,0426073;124;4,98749
0,0367653;125;5,03009
0,0329331;126;5,06686
0,0392864;127;5,09979
0,0419607;128;5,13908
0,0403227;129;5,18104
0,0429873;130;5,22136
0,0381474;131;5,26435
0,0331635;132;5,3025
0,0364061;133;5,33566
0,0427009;134;5,37207
0,0347937;135;5,41477
0,0487181;136;5,44956
0,0327592;137;5,49828
0,0332694;138;5,53104
0,0340518;139;5,56431
0,0371743;140;5,59836
0,0333747;141;5,63553
0,0341567;142;5,66891
0,0356466;143;5,70307
0,0401478;144;5,73871
0,0346628;145;5,77886
0,0427547;146;5,81352
0,0450249;147;5,85628
0,0435114;148;5,9013
0,0437102;149;5,94481
0,0463116;150;5,98852
0,0363569;151;6,03484
0,0353008;152;6,07119
0,043143;153;6,10649
0,0338435;154;6,14964
0,0331639;155;6,18348
0,0334717;156;6,21664
0,0332216;157;6,25011
0,0332665;158;6,28334
0,0336725;159;6,3166
0,0321044;160;6,35028
0,0383205;161;6,38238
0,0357672;162;6,4207
0,0425705;163;6,45647
0,0370579;164;6,49904
0,0365119;165;6,5361
0,0401783;166;6,57261
0,0374587;167;6,61279
0,0349046;168;6,65025
0,0330957;169;6,68515
0,0330081;170;6,71825
0,0345744;171;6,75125
0,0367105;172;6,78583
0,036559;173;6,82254
0,0335939;174;6,8591
0,0403735;175;6,89269
0,0376204;176;6,93306
0,0484191;177;6,97069
0,0417483;178;7,0191
0,0405615;179;7,06085
0,0418829;180;7,10141
0,0396688;181;7,1433
0,0363203;182;7,18297
0,0391348;183;7,21929
0,0332159;184;7,25842
0,0328906;185;7,29164
0,0375573;186;7,32453
0,0395607;187;7,36209
0,043404;188;7,40165
0,0623479;189;7,44505
0,1106;190;7,5074
0,121334;191;7,618
0,0635919;192;7,73933
0,0508395;193;7,80292
0,0430036;194;7,85376
0,0377163;195;7,89677
0,0601937;196;7,93448
0,0582187;197;7,99468
0,0575615;198;8,0529
0,0439808;199;8,11046
0,0412282;200;8,15444
0,0354888;201;8,19567
0,0381995;202;8,23116
0,035998;203;8,26935
0,0420938;204;8,30535
0,0397489;205;8,34745
0,0378788;206;8,3872
0,0397706;207;8,42508
0,0380235;208;8,46485
0,0365343;209;8,50287
0,0408728;210;8,5394
0,0365993;211;8,58028
0,0603078;212;8,61688
0,107159;213;8,67718
0,0592908;214;8,78434
0,0378478;215;8,84363
0,0337231;216;8,88148
0,0390033;217;8,9152
0,0348763;218;8,95421
0,045266;219;8,98908
0,037623;220;9,03435
0,0607874;221;9,07197
0,0379719;222;9,13276
0,0425016;223;9,17073
0,0484095;224;9,21323
0,0356249;225;9,26164
0,0367469;226;9,29727
0,036924;227;9,33401
0,0406856;228;9,37094
0,0420218;229;9,41162
0,0404253;230;9,45365
0,0331832;231;9,49407
0,0590178;232;9,52725
0,0948157;233;9,58627
0,0788284;234;9,68109
0,0556964;235;9,75992
0,0442302;236;9,81561
0,0329161;237;9,85984
0,0344242;238;9,89276
0,0320547;239;9,92718
0,0353893;240;9,95924
0,0369824;241;9,99463
0,0382817;242;10,0316
0,0341011;243;10,0699
0,0523527;244;10,104
0,0488759;245;10,1563
0,0430059;246;10,2052
0,0342097;247;10,2482
0,0353497;248;10,2824
0,0336322;249;10,3178
0,0367795;250;10,3514
0,0486052;251;10,3882
0,0431796;252;10,4368
0,0364489;253;10,48
0,0354289;254;10,5164
0,0368488;255;10,5519
0,0397391;256;10,5887
0,0385614;257;10,6284
0,0332989;258;10,667
0,0330105;259;10,7003
0,0328666;260;10,7333
0,033026;261;10,7662
0,0350328;262;10,7992
0,0325182;263;10,8342
0,0345975;264;10,8668
0,0340648;265;10,9014
0,0351179;266;10,9354
0,0327527;267;10,9705
0,0346176;268;11,0033
0,0397559;269;11,0379
0,0492965;270;11,0777
0,035278;271;11,127
0,0357586;272;11,1622
0,0506453;273;11,198
0,0542733;274;11,2486
0,0440635;275;11,3029
0,0341538;276;11,347
0,033417;277;11,3811
0,0450006;278;11,4146
0,0375293;279;11,4596
0,0330527;280;11,4971
0,0358946;281;11,5301
0,0342443;282;11,566
0,0333848;283;11,6003
0,036286;284;11,6337
0,0396274;285;11,6699
0,0399401;286;11,7096
0,0366587;287;11,7495
0,0325695;288;11,7862
0,0356697;289;11,8187
0,0392429;290;11,8544
0,0390142;291;11,8937
0,0358814;292;11,9327
0,0360465;293;11,9685
0,0394812;294;12,0046
0,0338022;295;12,0441
0,039872;296;12,0779
0,0349754;297;12,1178
0,0339204;298;12,1527
0,0398247;299;12,1866
0,0329741;300;12,2265
0,0344428;301;12,2594
0,0330281;302;12,2939
0,0509037;303;12,3269
0,0461856;304;12,3778
0,0444508;305;12,424
0,0324707;306;12,4685
0,0333519;307;12,5009
0,0332209;308;12,5343
0,0315516;309;12,5675
0,0346631;310;12,5991
0,0366566;311;12,6337
0,0402153;312;12,6704
0,0340267;313;12,7106
0,0358936;314;12,7446
0,0390209;315;12,7805
0,0362531;316;12,8195
0,0346568;317;12,8558
0,0347766;318;12,8904
